	Error in precision	Error in recall
1	0.33630117	0.336776557
2	0.310199203	0.310712251
3	0.277864998	0.278773029
4	0.249569231	0.250752137
5	0.229307692	0.230305983
6	0.189678632	0.190073504
7	0.174182906	0.174697436
8	0.165492063	0.166500855
9	0.161316972	0.162529915
10	0.156523932	0.157840781
11	0.148517827	0.149957265
12	0.138557102	0.139744322
13	0.123712362	0.124180342
14	0.1165038	0.117044648
15	0.110973612	0.111791309
16	0.110081385	0.110786669
17	0.106168329	0.106700285
18	0.102558559	0.103300958
19	0.100328349	0.100958364
20	0.096916262	0.097519902
21	0.094350096	0.094922145
22	0.090720872	0.091308081
23	0.086201048	0.086725608
24	0.082408216	0.082797296
25	0.079932624	0.080382654
26	0.077627533	0.078063584
27	0.076459586	0.076867733
28	0.07464787	0.075107349
29	0.073041817	0.073487618
30	0.072522957	0.07305172
31	0.071499911	0.071816983
32	0.070305643	0.070598145
33	0.069594681	0.069874633
34	0.067693073	0.068031551
35	0.066142126	0.066393786
36	0.065219424	0.065487583
37	0.062797278	0.063137963
38	0.06178315	0.062152112
39	0.06004417	0.060431689
40	0.058984556	0.059445405
41	0.057603721	0.057992241
42	0.055916327	0.0562748
43	0.054824092	0.055174646
44	0.054636467	0.05500687
45	0.054051825	0.054442302
46	0.052484971	0.053000471
47	0.051473404	0.051789551
48	0.050193285	0.050538351
49	0.049205681	0.049558689
50	0.04840061	0.048743422
51	0.047415262	0.047819938
52	0.046353124	0.046720887
53	0.045893843	0.046298262
54	0.045517609	0.045926876
55	0.04425062	0.044657654
56	0.043613612	0.043986771
57	0.042421542	0.042772873
58	0.041296025	0.041684481
59	0.040859423	0.041241771
60	0.039583811	0.039967629
61	0.038783697	0.039200453
62	0.03795777	0.038251303
63	0.036781538	0.037086043
64	0.036487569	0.036763242
65	0.036110806	0.036425616
66	0.035460234	0.035745664
67	0.034814018	0.035074564
68	0.034485126	0.034753233
69	0.034175948	0.034438383
70	0.03330799	0.033598936
71	0.032810301	0.033050072
72	0.032186819	0.032437635
73	0.031198307	0.031369739
74	0.03081183	0.031017647
75	0.030152223	0.030381124
76	0.029402945	0.0296061
77	0.029108924	0.029321745
78	0.02758092	0.027697989
79	0.026787528	0.026923858
80	0.026139896	0.026267263
81	0.025084066	0.025194266
82	0.023899726	0.024012227
83	0.023191668	0.023288071
84	0.022569848	0.022647568
85	0.022092293	0.022178849
86	0.021470798	0.021522136
87	0.020712301	0.02075903
88	0.02012919	0.020183457
89	0.019587109	0.019628493
90	0.019095271	0.019180126
91	0.018380925	0.018462024
92	0.017223072	0.017337476
93	0.016556457	0.016637153
94	0.015806397	0.015929382
95	0.014232693	0.014344337
96	0.013345531	0.013447273
97	0.01291992	0.01300791
98	0.012440001	0.012515229
99	0.01168095	0.011772141
100	0.010977845	0.011094696
101	0.010450957	0.010534702
102	0.009658947	0.009723952
103	0.009649814	0.009723952
104	0.008408205	0.0084779
105	0.008116194	0.008176247
106	0.007587458	0.007638831
107	0.0064626	0.006547617
108	0.006284879	0.006371048
109	0.00626753	0.006371048
110	0.005607572	0.005679176
111	0.004572069	0.004666015
112	0.002627295	0.002698573
113	0.001281682	0.001307469
114	0.001284291	0.001307469
115	0.001099807	0.001107911
116	0.001098215	0.001107911
117	0.001004169	0.001013675
118	0.001003515	0.001013675
119	0.000684668	0.000711879
120	0.000681109	0.000711879
121	0.000672109	0.000711879
122	0.000665411	0.000711879
123	0.000661643	0.000711879
124	0.000659759	0.000711879
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
